Name,z,ObsID,mass,mass_e,mass_E,mass_f,NH,NH_low,NH_high,KT,KT_low,KT_high,Tau,Tau_low,Tau_high,Fe line,Fe EW (KeV),chi^2,dof,model,fl_obs_210,fl_obs_2040,fl_int_210,fl_int_2040,fl_refl_210,fl_refl_2040,lum210,lum2040,gamma,theta,yy,gTortosa,ratio_210,ratio_2040
Mkn335,0.0258,60001041005,7.23,0.04,0.04,1,4.26104,0,0,31.4323,22.7453,44.0221,1.49138,1.08346,1.9924,6.12345,0.130368,958.295,895,WA*COMPTT+GA+PEX,5.89046E-12,5.43144E-12,8.47809E-12,5.43365E-12,9.12315E-13,4.48855E-12,0.129763,0.0826434,2.28062548547941,0.061511350293542,1.13914080044378,2.18579667485613,0.107608553341614,0.826065352019361
Mrk1148,0.0649,60160028002,7.82,0,0,2,0.505094,0,0,26.4,17.5886,83.0666,3.41892,1.18964,4.70936,6.78778,0.0498263,678.042,661,WA*COMPTT+GA+PEX,1.96995E-11,1.05046E-11,2.06002E-11,1.0507E-11,1.95513E-13,8.48572E-13,2.08312,1.07593,1.36867313045064,0.051663405088063,3.76730442988823,1.6756206052324,0.009490830186115,0.080762539259541
Fairall_9,0.047,60001130003,8.3,0.08,0.12,1,1.06972,0,0,140.226,86.6597,356.532,0.559406,0.139397,0.951807,6.10245,0.122317,1137.3,1234,WA*COMPTT+GA+PEX,2.17804E-11,1.3874E-11,2.39562E-11,1.38789E-11,7.5802E-13,4.80083E-12,1.24493,0.720043,2.8141699218931,0.274414872798434,2.00857914663768,1.92696516043057,0.03164191315818,0.345908537420113
Mrk1018,0.0424,60160087002,8.03,0,0,2,1.6132E-07,0,0,23.1338,,,4.27,3.58,4.58,6.25648,0.302233,130.108,136,WA*COMPTT+GA+PEX,1.75972E-12,1.08566E-12,1.75817E-12,1.08566E-12,1.80218E-14,1.23045E-13,0.0734401,0.0453559,1.27724900520663,0.045271624266145,4.81289361945103,1.58685294435534,0.010250317091066,0.113336587882026
Mrk590,0.0264,90201043002,7.57,0.06,0.07,1,0.000953726,0,0,13.02,,,6.27,5.58,6.8,6.22343,0.2676,463.03,455,WA*COMPTT+PO+PEX,3.07393E-12,2.30868E-12,3.07162E-12,2.30867E-12,8.70816E-14,4.34272E-13,0.0485109,0.0366138,1.23168955879808,0.025479452054795,5.11918976570463,1.56524471118076,0.028350381883176,0.188104839582963
AM0224m283,0.0598,60363002002,7.91,0,0,2,4.23999E-08,0,0,13.79,,,6.019,5.049,6.64,6.00294,0.0729727,169.733,219,WA*COMPTT+PO+PEX,3.08565E-12,2.33753E-12,3.08302E-12,2.33752E-12,1.05601E-13,5.28537E-13,0.260512,0.19949,1.23698889765158,0.026986301369863,5.05267338609841,1.5698005177469,0.034252453762869,0.22611015092919
Mrk1040,0.0167,60101002004,7.29,0,0,2,1.87359,0,0,122.4,74.6646,252.017,0.684145,0.266922,1.14663,6.35552,0.0924275,1249.86,1277,WA*COMPTT+GA+PEX,2.54044E-11,1.90317E-11,2.97436E-11,1.90427E-11,1.12396E-12,7.30877E-12,0.186334,0.11922,2.48992741389528,0.239530332681018,2.16166178530264,1.89576823228594,0.03778829731438,0.38380954381469
Mrk1044,0.0165,60160109002,6.44,0,0,2,2.87451E-08,0,0,38.9933,18.6906,181.803,1.87083,0.348252,3.55533,6.361,0.146181,418.413,419,WA*COMPTT+GA+PEX,8.51329E-12,4.60499E-12,8.50495E-12,4.60498E-12,4.00541E-13,2.13911E-12,0.0520827,0.0282251,1.7490377531687,0.07630782778865,2.13972700179123,1.90006976656091,0.047095044650468,0.464521018549483
NGC0985,0.043,60061025002,7.92,0,0,2,5.75231,0,0,64.5508,32.6748,200.929,1.17157,0.301381,2.31061,0,0.0394512,394.508,385,WA*COMPTT+GA+PEX,8.58525E-12,8.42733E-12,1.29095E-11,8.4392E-12,7.69478E-13,4.41913E-12,0.558731,0.36486,2.06428879525062,0.126322504892368,1.93509806190308,1.94299080445512,0.059605561795577,0.523643236325718
HB89_0241p622,0.044,60160125002,8.09,0,0,2,1.24884,0,0,114.262,76.3199,221.277,0.910922,0.418204,1.39657,6.36,0.100855,824.67,800,WA*COMPTT+GA+PEX,2.29898E-11,2.03707E-11,2.54311E-11,2.03784E-11,1.2693E-12,7.88913E-12,1.14447,0.91844,2.00842610221669,0.22360469667319,2.94945012045472,1.76927612374326,0.049911329042,0.387131963255211
1H_0419m577,0.104,60101039002,8.07,0,0,2,1.30273,0,0,14.0544,12.8728,15.6,5.66712,5.25014,6.05928,5.88,0.059,1361,1332,WA*COMPTT+GA+PEX,1.4684E-11,9.50291E-12,1.63327E-11,9.50857E-12,3.12649E-13,8.91285E-13,4.42181,2.67383,1.26041841911954,0.027503718199609,4.61403494699184,1.60180258176432,0.019142517771097,0.093734914924116
